,squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
6556,22811,75,1,0,50,19684,2,4,2016,0,1,9974,4388,355,1,2,2285502.6
6998,47559,33,0,0,66,52507,6,1,2018,1,0,6654,5134,854,1,7,4762739.8
1055,77566,38,1,0,21,57816,6,6,2009,0,0,470,5118,244,1,7,7762684.9
3274,40705,74,1,1,52,9607,10,9,1991,0,0,9802,894,736,0,9,4080567.1
4961,93656,65,0,1,8,29038,1,3,2007,1,0,4173,2017,230,1,10,9369720.7
5363,2985,53,1,0,12,38448,4,2,2011,0,0,7032,564,943,0,1,301138.1
5816,68847,70,0,0,30,11553,1,6,2019,0,1,3592,7303,634,1,9,6888091.9
811,29917,70,1,1,39,26297,5,9,2011,0,1,1566,278,480,0,5,2998840.1
4573,33692,83,1,1,69,88105,3,4,1999,1,0,9989,812,721,1,4,3375522.9
6137,76045,48,0,0,4,35808,10,7,2000,0,0,134,5662,925,0,7,7605336.0
2388,73196,19,0,1,48,16866,3,5,2011,0,0,7389,5683,114,1,2,7325901.1
9648,82377,72,0,1,66,86648,3,8,2004,0,1,7891,7931,931,1,1,8241348.4
6225,63342,21,1,1,86,91993,4,2,1997,1,0,2111,3502,877,1,8,6349697.7
111,39109,24,1,0,67,74477,4,3,2002,1,0,1642,2925,139,0,9,3917652.2
8909,80671,65,0,0,6,37066,7,10,2021,1,1,2660,1222,393,0,5,8068598.1
1745,36705,38,0,1,23,94515,5,2,2010,0,1,2585,6833,450,1,3,3676738.0
7851,35216,26,0,1,67,13155,4,2,2013,0,0,4620,2337,282,1,10,3528669.3
1452,46695,77,1,1,78,59440,9,8,1997,0,0,2840,3484,194,1,10,4680907.7
319,52680,10,0,1,79,10177,6,4,1991,0,1,5687,2005,242,0,0,5274696.1
8593,44565,78,1,0,40,34919,2,8,2005,0,1,8312,1745,685,1,10,4463078.5
3333,52915,63,1,0,97,85596,3,9,1996,1,0,544,9576,480,0,8,5302289.6
1922,70494,69,1,1,98,30556,3,3,2005,0,0,5652,6478,160,0,9,7059376.5
5865,56223,42,1,1,31,75941,6,5,2016,0,1,4779,5755,689,0,10,5629298.6
9528,79380,51,0,1,50,64269,5,9,2004,0,1,9140,6886,280,1,3,7943681.4
3685,86619,23,1,1,2,22657,1,9,2018,1,1,2160,5810,877,0,7,8670749.8
4275,43788,50,1,1,82,51550,2,1,2011,0,1,885,2918,601,1,10,4391540.1
4889,88036,30,0,0,16,5201,1,3,2017,1,0,2328,6702,947,0,0,8804243.7
5225,40101,82,1,1,68,81262,1,4,2009,1,1,1153,5161,794,0,5,4023279.9
7472,13603,61,1,1,66,86297,7,6,2014,1,0,2994,7147,767,1,8,1372325.4
3605,65001,18,1,0,37,72546,8,6,2013,1,0,4731,2386,792,0,8,6504375.3
1052,3155,53,1,1,16,3192,1,7,2015,0,1,9865,2992,150,1,10,323586.5
4156,44561,8,0,0,72,89056,5,6,2002,1,1,1783,9281,774,1,5,4460766.2
9676,10359,90,1,1,3,69467,7,5,1990,0,1,9457,9123,969,0,2,1041647.0
99,23177,19,0,0,52,69373,4,1,2003,0,0,2706,4593,648,1,6,2318776.3
7508,36945,35,0,0,31,52908,5,3,2006,1,1,8900,9299,192,1,4,3696745.6
1456,59288,44,0,1,8,46030,1,4,2021,1,0,4412,3771,219,0,9,5934463.1
7688,60450,94,1,0,16,35385,8,3,2018,0,1,406,7381,757,1,10,6049182.8
4004,61995,31,1,0,98,40992,6,6,2013,1,0,7239,4834,867,0,4,6208532.3
6866,85202,24,1,1,40,88240,9,5,2011,1,1,2236,6304,884,1,8,8530631.1
4509,60396,100,1,1,81,92255,7,9,2012,1,1,5943,7937,950,1,1,6047863.2
3299,93290,54,1,1,60,90350,2,4,2001,0,1,3029,8805,613,0,6,9335722.1
3799,30442,48,0,0,60,94016,3,9,2008,1,0,5953,4550,627,0,7,3049370.8
4281,15148,81,0,0,11,14485,5,3,1997,0,1,9433,965,847,0,8,1515878.7
9051,98131,58,0,1,97,22812,7,2,2012,1,0,8286,6208,819,1,1,9822005.2
6462,97831,19,0,1,75,73394,4,9,2004,0,1,1728,5426,613,1,3,9790034.4
7912,26883,68,1,0,20,42653,3,2,1994,0,1,3583,3508,620,0,7,2694154.4
1414,91156,20,0,1,47,10616,3,5,2009,0,1,9405,4215,842,0,3,9120679.9
540,87156,49,1,0,44,94383,9,2,2019,0,1,5224,968,798,0,9,8722474.9
5815,42903,96,1,1,28,20793,4,4,1991,1,1,3336,4380,562,1,3,4297348.1
8199,40095,14,0,1,41,1970,5,9,2015,0,0,8160,5969,924,0,7,4016266.5
3680,80722,21,0,0,25,28651,10,6,2019,1,0,5746,9407,858,0,1,8075401.9
754,45979,46,0,1,2,78140,10,5,2004,0,1,7620,4487,571,0,6,4600373.4
4196,74079,67,0,1,28,64669,1,4,2002,1,1,695,5687,853,0,4,7412552.2
2650,52866,23,0,1,40,10132,8,8,2004,0,1,933,8316,384,0,4,5293836.4
4522,24055,32,0,1,81,18804,5,6,2018,1,1,5640,7433,818,0,6,2418314.8
9519,19796,4,1,0,30,59167,6,2,2005,1,0,9160,9986,745,1,6,1984461.5
3118,83120,8,0,0,7,63476,4,1,2005,0,0,2074,9939,121,1,9,8313030.5
3728,75354,2,0,1,61,29515,3,2,2019,0,1,6062,8157,495,0,8,7546076.9
3886,91482,86,1,0,32,90465,6,2,2003,1,0,8903,4388,649,0,6,9153595.3
7107,66628,85,1,0,70,89998,10,5,1997,0,0,1180,8686,723,1,1,6668709.7
8068,86677,87,1,1,64,82489,9,3,2017,0,0,1073,9743,694,0,6,8675635.7
7325,18653,21,1,1,40,43885,10,4,2020,0,0,4746,4175,319,1,9,1871959.0
8483,15262,49,0,1,72,20893,2,7,2005,0,1,6000,293,884,0,1,1531236.5
8767,20587,32,1,0,71,98056,5,5,2004,1,1,8473,7031,638,0,8,2067398.4
6500,11471,17,0,0,100,64766,9,4,1993,1,0,469,5098,112,1,3,1152849.3
8426,32604,51,1,0,38,85386,1,5,2009,0,1,2030,6606,135,0,2,3263791.9
7963,79768,39,1,0,48,93255,10,3,1999,1,0,1421,7075,929,0,9,7984469.9
601,50118,80,1,0,76,39767,3,1,1998,0,1,7483,8194,687,0,0,5016630.8
9249,77724,78,0,0,79,83477,3,2,1995,0,0,8324,6918,982,1,10,7779385.5
8919,1932,51,1,1,36,52283,1,1,2000,1,0,4334,8090,195,1,8,201541.0
6814,89940,55,0,0,52,87608,10,5,2017,1,1,7822,2642,812,1,4,8995621.7
5411,86019,21,0,0,91,68445,9,9,2014,1,0,4019,1854,829,1,9,8611760.4
8747,88935,8,1,0,93,36360,1,2,1990,0,1,8530,8210,913,1,0,8901934.0
5522,90304,95,1,1,78,5508,6,5,1990,0,0,4093,6738,807,0,5,9044776.0
1044,92722,79,1,0,73,83194,4,3,2019,0,1,38,1444,550,0,3,9283890.9
7334,71997,75,1,1,44,67609,8,10,2014,1,0,4305,3492,662,1,6,7207715.4
1557,89674,6,0,0,5,56815,6,2,2012,1,1,5673,3242,604,0,4,8968371.2
3739,10798,27,1,0,59,38651,2,9,1993,0,0,5879,3505,850,0,6,1086266.3
3522,18014,85,1,1,67,86547,2,5,2015,0,0,9508,7725,872,1,3,1810349.5
180,38003,98,1,0,6,49191,8,10,2008,0,0,9981,6500,129,0,2,3803545.8
2115,60555,100,1,1,17,87291,10,5,2016,1,0,2639,139,506,0,10,6065217.6
1699,24313,46,1,0,53,79612,5,8,2003,1,0,1365,1075,437,1,10,2438137.3
1379,25210,98,1,0,34,69052,8,1,1994,1,0,5454,1034,147,0,6,2525784.4
7229,10437,56,0,1,23,39718,4,10,1999,1,1,4018,3432,193,1,2,1050183.9
9143,62599,8,0,1,37,9244,9,10,2012,0,1,428,2077,909,1,0,6268809.2
618,48270,60,1,1,85,81900,6,10,2010,0,0,6828,3382,935,0,6,4838349.0
3181,17466,80,0,0,51,40049,9,6,2005,0,0,6862,4415,444,0,1,1751126.5
9851,32769,11,0,1,34,76030,10,5,2011,0,0,9745,7391,866,0,9,3283212.1
1600,56025,68,1,0,86,29367,4,8,2017,0,0,3731,7937,857,0,8,5608298.7
5963,85154,10,1,0,33,69408,10,6,1994,0,1,9887,8254,740,1,5,8518699.4
1615,25263,53,1,1,51,31799,5,2,2004,1,1,9834,1817,183,0,0,2532250.4
5920,683,91,1,1,31,75419,10,3,2009,0,1,6528,2986,172,0,10,76430.9
9591,28825,79,0,0,35,44193,3,4,1991,0,1,9767,3333,144,1,2,2886304.1
3891,39682,100,0,0,42,89345,10,5,1990,1,0,4152,6822,878,0,5,3971367.0
2083,96037,58,1,0,4,16053,6,4,1993,0,0,2963,957,341,0,0,9606569.3
4574,92201,56,0,1,66,69735,3,5,2003,0,1,3385,5903,159,0,10,9228740.3
5594,72114,51,1,0,32,15113,9,5,1990,1,0,9165,7506,176,0,4,7215802.0
5121,2943,1,1,1,29,27296,9,2,2005,0,1,4470,8588,851,1,9,302523.5
4587,47579,85,1,0,8,8403,3,8,2013,1,1,1138,805,629,0,5,4761303.3
4902,39269,87,0,1,16,54877,8,1,1997,0,0,6604,7051,800,0,8,3930292.7
8252,98678,95,1,1,3,75381,5,6,2003,0,1,6810,1391,556,1,3,9873512.3
5916,93190,51,0,0,44,67570,5,5,1998,1,0,4817,7651,998,0,7,9322069.8
5129,96593,95,1,0,79,58402,10,7,2009,1,0,222,645,761,1,7,9665702.9
8334,25224,8,0,1,48,15830,3,10,1996,0,0,2106,5726,759,0,8,2529744.6
1918,74383,58,0,0,14,20734,7,5,1992,1,1,6646,9713,984,0,6,7439935.2
8330,47824,52,0,0,12,39180,5,7,1993,0,1,9562,3717,793,1,3,4784201.3
5707,29319,62,1,0,47,47216,5,3,2001,0,1,5846,4451,407,1,7,2939576.1
5384,99952,41,1,0,69,51336,10,7,2000,0,1,1285,7588,192,1,9,9998411.0
6336,10370,59,1,1,2,19103,1,4,2005,1,1,3456,2977,380,0,2,1045712.5
2054,21054,56,0,1,46,73635,9,5,2012,1,0,1348,5131,142,1,3,2111055.2
7612,90417,13,0,0,88,2994,5,2,1996,0,0,301,6134,771,0,0,9043733.6
9209,63062,60,0,0,37,73988,10,8,2003,0,1,3391,5307,948,0,2,6307914.3
3963,26090,6,1,0,78,81880,9,1,1995,1,0,206,9611,910,0,9,2613900.5
1126,60256,60,1,0,68,57262,9,3,2016,0,1,5123,1273,569,1,10,6033836.6
3428,63941,22,0,0,12,56147,10,5,1994,1,1,9722,7407,340,1,4,6396123.4
4601,11914,36,1,0,57,95044,8,6,2005,0,1,6274,1131,897,0,10,1198177.5
3721,91419,55,1,0,1,47472,8,9,2012,1,1,3394,6556,115,0,2,9147142.2
2389,83934,54,1,1,31,10839,10,3,2001,0,0,555,3766,999,0,8,8400357.1
1322,79576,78,0,0,24,91759,2,6,2011,0,0,3003,5956,895,0,7,7958981.1
1603,42208,26,1,0,11,90051,1,4,2003,0,1,9849,9363,806,1,5,4224392.3
7224,3893,30,0,1,89,91809,8,9,1996,1,1,8765,9222,848,1,10,399892.6
7425,88174,23,0,1,84,87584,6,1,1994,0,0,7601,137,380,1,0,8824737.4
4336,21558,89,0,0,3,54670,3,10,1994,0,1,4900,2763,159,1,5,2156397.4
5593,88780,51,1,1,89,803,7,1,2016,0,0,4778,6238,275,0,0,8887352.6
4411,14610,91,1,1,62,95536,9,10,1999,0,1,8805,3156,726,1,6,1469296.9
5858,23684,95,0,0,76,41456,5,10,2013,0,1,6588,9147,931,0,8,2370875.3
9343,13079,78,0,1,11,73189,9,5,2011,0,1,4724,319,271,0,1,1312452.1
3991,66442,81,0,1,52,5343,6,7,2015,0,0,8747,1268,884,0,1,6650604.5
6079,81063,98,0,1,60,35456,8,6,2008,1,0,4818,9221,465,0,10,8113870.8
1559,5802,99,0,0,61,3565,6,1,2010,1,1,542,9793,465,1,9,583663.0
4682,41147,69,0,1,87,38738,4,1,2006,1,0,7388,3537,791,1,4,4122969.6
7557,70226,30,0,1,77,27962,9,3,2008,1,1,8583,3849,790,0,9,7032304.8
3772,79499,39,1,1,79,2267,3,7,2013,1,0,5217,2016,198,0,4,7955951.3
8779,65896,44,1,1,40,69039,7,2,1994,0,1,202,6398,792,0,2,6601450.4
3457,42230,5,0,1,16,30746,7,10,2019,0,0,9505,9183,466,1,8,4228536.9
8383,15728,76,1,0,12,40059,9,8,2017,1,0,3436,384,253,0,5,1577515.7
1354,80237,88,0,0,35,32911,7,8,2006,1,1,6209,8195,134,1,6,8025945.6
45,92696,49,1,0,38,74381,9,2,2021,0,0,1559,5111,957,1,2,9272740.1
9872,69055,75,1,0,52,48006,4,3,1998,0,0,3397,1791,212,1,6,6913685.8
748,79604,30,0,1,4,23402,2,3,2016,1,1,9575,2906,909,0,2,7965563.6
7917,46119,14,0,1,68,82308,8,1,1998,0,1,9174,3376,742,1,8,4619757.8
4241,17966,77,0,1,18,12386,7,2,1999,1,0,8922,6615,874,0,6,1799688.9
5628,94789,23,0,1,3,31768,9,9,1992,1,1,4633,7185,895,1,8,9484024.2
4657,65549,38,0,0,38,35657,5,4,2015,1,1,5487,1726,316,1,10,6556739.5
4238,20365,93,0,0,62,28170,5,1,2011,1,0,8154,7439,534,0,0,2041739.1
3460,9196,17,0,1,11,28426,5,9,2010,1,1,5450,4963,661,0,9,926114.0
7381,41667,46,0,1,32,30699,8,8,1996,1,1,1772,9446,520,0,1,4174032.6
5549,889,53,1,0,30,3406,1,7,1999,1,1,2656,236,847,1,10,92858.9
7075,87245,35,1,0,37,88555,1,8,1997,0,1,2924,9744,942,0,2,8729428.7
5838,10484,38,0,0,43,170,7,10,2016,1,1,3872,1255,799,1,7,1051974.6
8091,55275,2,1,0,10,78342,9,2,1992,0,1,6676,8568,194,0,10,5531336.2
5474,50109,4,1,1,27,34622,5,1,2018,1,0,478,2348,690,0,4,5019832.8
3614,5390,52,1,1,54,21092,3,7,2020,0,0,8171,1111,525,0,6,547066.0
7501,40077,85,1,0,90,51219,7,6,2011,1,1,2350,5903,935,0,5,4020046.1
7053,85955,72,0,0,56,69575,3,1,2015,0,1,4303,2197,408,1,2,8601595.5
7367,44802,52,0,1,4,13692,9,2,2009,0,1,7002,7560,313,0,4,4484085.9
8019,68083,32,0,0,75,41276,8,9,2005,0,0,8851,7008,936,1,2,6813175.5
9638,94122,92,0,0,77,45430,10,4,2009,1,1,6278,4484,154,1,5,9414686.9
9055,69893,70,0,0,65,20478,10,3,2017,1,1,4797,1882,281,1,9,6991116.7
664,19728,97,1,0,85,49642,2,8,2018,0,1,4778,5706,289,1,2,1977828.8
2319,148,91,0,0,11,27008,6,9,1992,1,1,6618,7045,939,1,10,16799.2
3542,64180,36,1,1,100,46756,6,6,2002,0,1,1986,770,321,1,4,6425560.2
3677,65982,64,1,1,56,59946,1,4,2012,1,0,5085,9728,796,0,6,6607360.2
9599,44718,63,0,0,67,83552,3,2,2008,0,1,2915,6977,113,1,2,4478514.8
3091,43283,59,0,1,43,40618,9,8,2002,1,0,6595,3881,642,1,10,4336072.2
675,30925,18,1,1,83,91239,7,4,2016,1,1,747,8698,218,0,3,3104280.6
8676,53547,77,0,0,35,50880,8,4,2002,0,0,7979,490,323,0,2,5355930.2
4884,85489,90,1,0,42,42842,2,1,1999,1,1,6755,7170,320,0,1,8555341.9
8079,3864,11,1,1,80,21772,6,7,1995,0,0,2453,8700,358,1,8,394535.5
1962,55984,92,0,1,51,35375,6,3,1999,0,1,4997,5660,213,0,5,5604992.9
1840,90947,75,1,0,8,48980,8,3,2020,0,0,6379,653,595,1,10,9098966.0
7168,47671,64,1,1,78,42268,7,1,2015,0,0,5479,5662,765,0,8,4773675.5
9898,61073,90,1,0,77,59566,7,3,1991,1,1,3484,5343,319,1,2,6110676.1
3538,90122,35,0,1,89,85240,10,8,1994,0,0,7094,7305,265,0,3,9017994.4
8026,13087,55,0,0,12,91327,6,8,1997,1,0,5984,143,437,1,2,1310455.7
4866,30317,33,0,1,78,69973,5,1,2019,1,0,4786,8307,212,1,5,3035229.9
4174,68723,83,0,0,8,99262,3,6,2005,1,1,9723,731,564,0,6,6873850.5
8088,27279,37,1,1,57,8594,7,3,2003,1,1,1731,3408,215,1,4,2739499.3
4377,62691,16,1,0,77,70717,6,7,2016,1,1,3831,9632,241,0,8,6276488.6
6211,24979,45,1,1,62,28179,9,5,2011,1,0,5980,7316,502,1,2,2508814.1
4766,60401,63,0,0,86,63764,6,4,1997,1,1,3200,6710,430,1,10,6047105.7
411,6012,53,1,0,38,96011,8,7,2013,1,0,392,2928,423,0,4,607323.3
613,17357,42,0,0,20,39233,6,5,1998,1,0,5688,9409,221,0,4,1738079.8
6126,39756,22,0,1,23,35568,8,4,2019,1,0,7195,8567,564,0,8,3980007.9
5210,6389,11,0,1,100,66599,2,7,1991,0,1,9768,1733,479,0,4,645862.1
1430,77744,34,0,0,85,69381,10,7,1990,0,1,3190,9835,379,0,6,7781079.0
2425,49322,8,0,0,97,65885,4,3,2017,1,0,3508,2918,600,0,2,4940658.7
8841,25495,57,0,1,7,58020,4,5,2011,1,1,2128,5982,547,1,6,2553094.1
3833,72859,97,0,0,52,73233,5,2,2001,1,1,8563,230,835,0,8,7289714.1
4718,69178,15,1,1,1,39748,8,4,1995,1,0,5550,7971,621,0,8,6921350.5
7185,75927,100,1,1,38,55528,5,3,2001,1,0,4681,1453,472,1,7,7599356.1
1417,21258,38,1,1,30,96015,3,6,1991,0,0,3175,6608,298,0,9,2131166.1
7199,49358,15,1,1,49,42812,9,10,2020,1,0,6110,1203,319,0,3,4943111.0
604,1607,10,1,0,46,50693,3,6,2004,0,0,8175,3264,923,1,9,167249.4
1272,64514,85,1,1,7,88305,7,3,2018,1,0,4548,2833,446,0,8,6458929.8
3964,37424,33,1,0,62,18474,2,7,2000,1,1,185,5854,885,0,10,3750232.0
6367,8369,69,0,1,67,21714,10,1,2012,0,1,6047,8033,117,1,9,846945.2
8746,59437,75,1,1,60,57505,2,10,2014,1,1,1716,534,455,1,9,5952617.4
247,65900,36,1,1,99,27819,1,5,2017,0,1,2637,1038,452,0,1,6605894.7
9226,55840,89,0,1,11,56766,4,6,1995,0,0,9314,3519,912,0,2,5588693.5
1982,80309,44,0,1,50,40668,2,9,2011,0,0,6134,7254,847,1,8,8039284.1
2835,65482,66,1,1,21,30063,5,6,1996,1,1,134,1222,171,0,6,6556065.6
5375,634,64,0,1,10,40942,4,6,1990,1,1,5713,4559,588,1,3,66144.0
